gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3925071040	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235474428/original.jpeg	https://www.inaturalist.org/photos/235474428					2022-07-30T19:03:22Z	Sean Daniels		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sean Daniels
3925058091	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235610393/original.jpeg	https://www.inaturalist.org/photos/235610393					2022-07-20T16:25:10Z	Chris Close		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chris Close
3925058091	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235610407/original.jpeg	https://www.inaturalist.org/photos/235610407					2022-07-20T16:25:17Z	Chris Close		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chris Close
3925034171	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235672616/original.jpeg	https://www.inaturalist.org/photos/235672616					2022-10-08T00:56:46Z	Marcus Larch		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marcus Larch
3925034171	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235672605/original.jpeg	https://www.inaturalist.org/photos/235672605					2022-10-08T00:58:02Z	Marcus Larch		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marcus Larch
3925034171	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235672594/original.jpeg	https://www.inaturalist.org/photos/235672594					2022-10-08T00:43:01Z	Marcus Larch		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marcus Larch
3925019855	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235119138/original.jpg	https://www.inaturalist.org/photos/235119138					2021-10-30T18:57:10Z	C. Desjardins		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	C. Desjardins
3925019855	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235119143/original.jpg	https://www.inaturalist.org/photos/235119143					2021-10-30T18:57:13Z	C. Desjardins		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	C. Desjardins
3925019855	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235118890/original.jpg	https://www.inaturalist.org/photos/235118890					2021-10-30T18:56:37Z	C. Desjardins		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	C. Desjardins
3925019855	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235119131/original.jpg	https://www.inaturalist.org/photos/235119131					2021-10-30T18:57:06Z	C. Desjardins		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	C. Desjardins
3925016003	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235381492/original.jpg	https://www.inaturalist.org/photos/235381492					2022-10-05T16:04:56Z	Ian Manning		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Ian Manning
3925010895	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235255907/original.jpeg	https://www.inaturalist.org/photos/235255907					2022-10-06T00:47:24Z	Ellen Scott		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ellen Scott
3925010895	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235255979/original.jpeg	https://www.inaturalist.org/photos/235255979					2022-10-06T00:47:30Z	Ellen Scott		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ellen Scott
3925002031	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235446800/original.jpeg	https://www.inaturalist.org/photos/235446800					2022-08-21T23:04:27Z	stevejarvis		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	stevejarvis
3923677907	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233640934/original.jpeg	https://www.inaturalist.org/photos/233640934					2022-09-28T18:11:46Z	Damien Mullin		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Damien Mullin
3923669902	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233657059/original.jpeg	https://www.inaturalist.org/photos/233657059					2022-09-27T18:17:44Z	Rob Routledge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rob Routledge
3923669902	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233657028/original.jpeg	https://www.inaturalist.org/photos/233657028					2022-09-27T18:17:01Z	Rob Routledge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rob Routledge
3923652011	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233856736/original.jpg	https://www.inaturalist.org/photos/233856736					2022-09-29T22:02:31Z	Spencer Bennett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Spencer Bennett
3923646060	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233901200/original.jpeg	https://www.inaturalist.org/photos/233901200					2022-07-12T21:32:29Z	Sean Daniels		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sean Daniels
